Year,Town Code,Town,Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
2023,155,West Hartford,27240,695,857,286,245,2083,7.65
2023,156,West Haven,22735,1024,2172,351,0,3547,15.60
2023,157,Weston,3671,0,1,5,0,6,0.16
2023,158,Westport,10567,265,57,1,75,398,3.77
2023,159,Wethersfield,11809,705,110,251,0,1066,9.03
2023,160,Willington,2685,184,7,33,0,224,8.34
2023,161,Wilton,6567,158,12,12,51,233,3.55
2023,162,Winchester,5405,269,147,96,0,512,9.47
2023,163,Windham,9663,1776,591,306,0,2673,27.66
2023,164,Windsor,12038,154,249,420,26,849,7.05
2023,165,Windsor Locks,5815,297,169,221,0,687,11.81
2023,166,Wolcott,6408,313,7,164,0,484,7.55
2023,167,Woodbridge,3476,30,6,4,0,40,1.15
2023,168,Woodbury,4584,60,4,30,0,94,2.05
2023,169,Woodstock,3669,24,1,23,0,48,1.31
